Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y,,
121311,0,0,0,120.95917,400.44928,293.64652,781.43866,602.98618,850.08773,753.37724,971.16978,914.41816,20451.5874,33486.8281,,
122311,0,0,0,89.54078,365.49525,262.00702,775.04195,564.00174,693.09635,642.94492,840.19105,782.34266,20469.0888,33523.331,,
141086,0,0,0,0,0,0,0,30.93298,22.85266,246.73082,149.77627,401.42715,25430.5014,30891.8175,,
141087,0,0,0,0,0,0,0,0,0.22182,5.66716,14.17384,120.79005,25378.13,30900.8183,,
141092,0,0,0,0.68532,18.42308,171.83572,162.39048,853.83203,530.15174,804.88413,685.56997,906.42311,25532.833,30833.4144,,
142088,0,0,0,0,0,0,0,0,0,0,1.51675,15.95557,25323.0218,30907.843,,
142089,0,0,0,1.55224,45.15103,77.0393,69.76002,695.52363,412.73453,905.37199,729.22838,981.66304,25603.5278,30871.2644,,
142090,0,0,0,0,10.1,43.19047,41.22639,613.53843,342.36566,769.73902,621.02083,784.68637,25648.0807,30864.4603,,
142093,0,0,0,24.80663,38.55376,230.268,148.93701,802.59136,476.82082,716.84416,687.10075,838.71824,25604.7857,30819.1947,,
144091,0,0,0,0,0,58.22535,97.30705,218.67778,238.34099,612.80449,496.83051,1019.23375,25692.5556,30857.6896,,
161007,0,0,0,0,0,0,0,0,0,0,64.08333,276.6875,27749.7374,29840.1606,,
161009,0,0,0,0,0,0,0,0,0,0,65.51282,0,27680.5452,29842.5257,,
162001,0,0,0,0,0,0,0,0,0,0,0,181.34798,27967.647,29840.0074,,
162003,0,0,0,0,0,0,0,0,0,0,121.91667,274.72727,27887.704,29844.6347,,
162005,0,0,0,0,0,0,0,0,0,0,0,61.41667,27818.4944,29847.0285,,
310196,0,0,0,0,0,21.26829,50.56044,148.06931,110.76786,141.64167,132.51181,171.38636,30860.2176,34834.4661,,
360007,0,0,0,0,0,0,0,0,0,0,0,0.93846,33051.4026,35211.5167,,
371017,0,0,0,0,0,1.09524,1.55102,29.88462,18.26786,144.76271,81.54688,225.24242,34098.0453,34678.2872,,
371018,0,0,0,0,0,0,0,10.55078,16.04041,189.28671,95.78378,437.49207,34093.4665,34615.127,,
372017,0,0,0,0,0,0,5.17742,24.66197,28.775,148.7907,91.37778,185.18085,34217.813,34683.5978,,
372018,0,0,0,0,0,0,0,0,1.27778,43.87092,49.21136,208.66106,34113.1309,34599.6721,,
373018,0,0,0,0,0,0,0,0,1.56589,18.00513,21.81129,219.93886,34173.6886,34612.4845,,
374018,0,0,0,0,0,0,0,0,6.45454,59.4749,64.78333,235.67567,34218.693,34624.3655,,
380063,0,0,0,0,0,0,0,0,0,0,0,0,33144.6242,33207.9596,,
461807,0,0,0,0,6.04094,14.06944,19.32422,220.02009,161.97858,402.71706,299.79908,420.42684,38001.5795,34366.7854,,
