Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y,,
640906,0,0,0,0,0,484.79775,710.63529,632.40449,359.40449,447.98864,525.79775,509.13483,11519.1465,35931.364,,
640905,0,0,0,0,0,799.91176,1143.0107,992.41667,775.1875,815.5,1009.65909,992.78334,11519.792,35848.4283,,
640907,0,0,0,0,0,769.20811,1099,1006.7124,569.48719,728.52737,877.93763,835.19611,11597.315,35922.4765,,
640904,0,0,0,0,0,705.37121,823.77948,794.0412,560.02762,623.53836,804.17472,747.69624,11597.9692,35821.5953,,
640903,0,0,0,0,0,743.80487,906.98123,855.68043,670.18036,686.7033,838.06227,817.53159,11611.8025,35765.161,,
640910,0,0,0,0,0,513.57778,657.55172,629.21111,427.06818,484.51111,500.10989,514.66667,11637.1368,36023.6531,,
640908,0,0,0,0,0,653.37319,880.41136,815.82485,547.49491,607.87101,734.66224,707.27833,11646.6878,35854.073,,
640909,0,0,0,0,0,936.78831,1103.24682,1033.01667,782.68159,847.92857,890.07381,903.11667,11655.3338,35926.3441,,
640902,0,0,0,0,0,931.34637,1075.13095,1017.03729,694.65873,785.56604,880.3837,870.62489,11672.8637,35698.6991,,
640911,0,0,0,0,0,875.34927,1044.84829,1026.775,760.65936,781.51976,912.73611,899.64744,11698.1621,35997.4623,,
640918,0,0,0,0,0,555.375,607.88,631.19231,513.95652,535.25,685.625,633.04167,11735.2939,35860.4578,,
640912,0,0,0,0,0,663.85714,947.55,843.2,541.3,637.25,714.18182,675.61905,11746.315,35946.5546,,
640919,0,0,0,0,0,718.24867,1003.30683,892.89682,504.3348,625.91128,807.4127,753.67725,11755.7238,35788.2705,,
640913,0,0,0,0,0,798.5635,1087.03846,993.54853,605.60694,752.12088,953.53909,869.31868,11780.5077,36005.546,,
640916,0,0,0,0,0,739.39965,928.31818,849.47694,625.47273,683.78155,865.75,801.43114,11807.0639,35873.0428,,
640917,0,0,0,0,0,722.2983,914.40224,847.34704,467.39848,591.86796,765.15436,719.15368,11810.0277,35834.4409,,
640915,0,0,0,0,0,716.3253,1005.84837,876.52273,526.52108,656.2266,779.33627,754.97622,11813.1631,35916.8261,,
640914,0,0,0,0,0,727.51712,956.13877,919.28126,517.64063,646.01865,837.31603,777.64819,11824.2854,35957.316,,
640920,0,0,0,0,0,821.62124,1090.12116,1001.8113,725.47116,794.84,939.0112,887.13128,11863.0498,35775.4093,,
640935,0,0,0,0,0,952.5,836.85714,0,816.85714,0,0,0,11864.667,36091.8455,,
640932,0,0,0,0,0,895.55136,1029.73698,1027.21319,844.69476,859.23164,968.64562,954.56429,11901.5183,35990.1129,,
640934,0,0,0,0,0,874.00284,1098.8362,1086.73049,823.55237,867.89106,888.38008,873.70063,11909.6971,36043.8445,,
640941,0,0,0,0,0,800.72667,1114.41313,1066.51794,831.49017,875.39091,940.39354,945.80383,11916.1215,36225.4906,,
640940,0,0,0,0,0,789.34944,1072.78394,990.86176,694.99682,848.43088,885.99559,873.01093,11924.8033,36162.1548,,
640921,0,0,0,0,0,853.71561,1084.67385,1037.71958,648.6918,754.84066,1008.9537,918.44444,11928.3114,35746.2856,,
640939,0,0,0,0,0,635.19334,770.02036,726.21544,611.82784,614.77179,714.98578,700.3274,11942.1001,36122.8354,,
640925,0,0,0,0,0,683.73249,923.00427,856.25938,518.57813,627.08413,808.17332,753.30601,11955.1687,35812.9646,,
640936,0,0,0,0,0,625.52308,793.89688,740.01539,571.38871,597.86154,713.61538,685.49231,11955.5615,36080.3168,,
640926,0,0,0,0,0,634.74637,818.10606,777.61328,487.35756,592.1108,710.36389,670.42763,11960.0427,35854.2239,,
640922,0,0,0,0,0,975.64342,1165.70357,1086.61498,757.77949,921.51974,1048.1074,974.29661,11964.3684,35695.5263,,
640928,0,0,0,0,0,694.52558,746.10109,769.77802,702.74615,671.6663,723.13443,714.08658,11966.141,35898.0069,,
640929,0,0,0,0,0,702.13217,758.51771,771.71958,701.09744,700.83486,757.13846,735.72355,11969.0209,35939.5092,,
640942,0,0,0,0,0,873.60152,1138.0597,1035.09638,732.20882,807.62101,888.07857,851.14492,11980.8627,36207.7461,,
640944,0,0,0,0,0,936.21311,1110.49436,1091.4806,855.78409,894.18182,917.22482,941.78082,12018.2517,36305.1981,,
640931,0,0,0,0,0,854.5264,934.81109,928.57143,793.43621,804.71958,932.84921,899.9127,12020.5929,35975.6639,,
640938,0,0,0,0,0,807.18109,1028.3663,987.9875,658.81694,763.49167,859.125,810.59732,12024.8729,36114.5,,
640943,0,0,0,0,0,862.90827,1082.49524,1070.23008,780.46594,824.20748,903.25172,898.84134,12026.7382,36204.9435,,
640923,0,0,0,0,0,813.26328,1051.14159,1004.01023,700.18693,788.63555,957.52941,908.40665,12027.8899,35745.1247,,
640933,0,0,0,0,0,847.78043,1090.22642,1011.59895,773.54807,818.30144,877.30728,891.35265,12028.9035,36028.9923,,
640924,0,0,0,0,0,1020.50962,1313.02885,1352.375,846.72917,995.16667,1112.22917,1101.79167,12031.0692,35825.4765,,
640930,0,0,0,0,0,985.52083,1056.62745,909.54327,787.15865,801.22917,1001.42157,937.52083,12038.9115,35907.5921,,
640937,0,0,0,0,0,483.5,533,525.375,428.25,439.125,613.625,553.125,12060.0059,36067.688,,
640945,0,0,0,0,0,862.06316,1002.03809,988.75517,885.19655,855.16207,947.29828,879.23981,12064.6723,36265.1346,,
640946,0,0,0,0,0,876.76786,1164.63276,1043.14068,743.78475,821.60763,980.01207,949.75,12100.4791,36260.7987,,
640947,0,0,0,0,0,959.32188,1213.71111,1154.10896,776.27193,862.34118,978.27463,956.51194,12126.419,36196.1106,,
640953,0,0,0,0,0,966.1746,1012.9375,943.55258,756.89447,765.6011,845.91766,825.85938,12147.461,36056.1578,,
640950,0,0,0,0,0,932.35251,1009.86945,999.22222,900.8,887.41944,1042.4047,1014.29166,12153.044,36175.2321,,
640948,0,0,0,0,0,830.89194,1006.22,984.77056,685.90909,738.24359,852.95671,838.34632,12156.8882,36283.8137,,
640952,0,0,0,0,0,850.71364,946.06023,880.30567,744.44812,750.55455,769.14773,796.04205,12210.2312,36076.982,,
640849,0,0,0,0,0,0,0,0,0,0,0,0,12234.0893,36441.9838,,
640949,0,0,0,0,0,805.83036,920.44643,891.85714,663.22159,711.85714,774.44643,768.27018,12236.9905,36164.542,,
640846,0,0,0,0,0,0,0,0,0,0,0,0,12239.644,36393.2427,,
640845,0,0,0,0,0,936.13729,746.01478,894.70626,950.73684,937.96684,907.09416,844.28913,12254.9379,36302.4034,,
640847,0,0,0,0,0,836.29487,843.41026,898.52564,823.85898,862.69231,883.453,809.74359,12258.2707,36390.318,,
640850,0,0,0,0,0,999.36284,1004.5282,1040.99311,1072.2937,1049.73543,971.97819,933.7103,12265.72,36507.0078,,
640848,0,0,0,0,0,859.70359,867.50769,919.41538,888.58,900.07579,921.57744,833.68308,12274.7906,36427.5551,,
640961,0,0,0,0,0,958.15,1099.33889,1065.32727,895.72273,903.09091,1066.73636,1029.30909,12280.4785,35938.666,,
640840,0,0,0,0,0,992.90625,923.51212,1019.04167,941.02083,979.55208,967.5625,897.15625,12299.5795,36240.8345,,
640844,0,0,0,0,0,1047.05291,885.03703,1056.43519,1098.5963,1077.42963,1021.48889,969.63519,12315.3155,36342.408,,
640851,0,0,0,0,0,963.88462,986.33333,1039.9789,1010.61159,1022.32412,951.90607,907.6975,12325.5588,36525.2338,,
640965,0,0,0,0,0,815.03571,943.10238,1032.75,821.64011,873.46429,892.26374,855.20953,12327.4242,35944.7305,,
640839,0,0,0,0,0,993.1279,950.99207,1047.46561,974.4448,1007.07338,977.25325,915.22013,12358.6524,36192.1133,,
640852,0,0,0,0,0,857.33333,743.17679,845.0463,826.88619,837.02564,838.5641,778.00337,12364.934,36619.7222,,
640841,0,0,0,0,0,629.89091,560.23636,639.37037,592.51923,639.38889,608.18519,562.83333,12365.9546,36299.6765,,
640837,0,0,0,0,0,1035.91071,903.60125,1040.17704,1062.13267,1081.63317,1027.20833,958.51888,12373.5965,36136.6324,,
640966,0,0,0,0,0,905.3871,973.32448,953.3074,753.463,788.91841,856.95636,931.84251,12374.806,35984.6058,,
640853,0,0,0,0,0,941.64616,850.86018,959.89231,907.08718,910.35789,980.67571,871.10256,12393.8207,36589.1252,,
640828,0,0,0,0,0,612.89744,597.07692,645.23077,574.64103,609.87179,621.12821,543.2,12396.7612,36366.5794,,
640827,0,0,0,0,0,551.275,554.30769,579.525,581.76923,595.66667,568.76923,523.76923,12401.2184,36419.7651,,
640825,0,0,0,0,0,1025.43626,1003.47778,0,1061.98864,0,0,0,12409.5066,36480.8243,,
640974,0,0,0,0,0,628.66667,912.22222,769.57895,586.10526,614.44444,770.70588,682.55556,12414.319,35757.3403,,
640830,0,0,0,0,0,513.08929,489.03571,534.53571,510.87037,540.73684,540.73214,486,12432.6555,36385.8965,,
640836,0,0,0,0,0,928.66326,831.71021,925.03536,927.65363,935.4102,951.24693,866.81837,12435.7893,36087.2719,,
640842,0,0,0,0,0,524.98182,508.46296,545.41071,507.16364,513.91071,533.68519,495,12437.3517,36291.5685,,
640838,0,0,0,0,0,932.76667,1000.6617,1004.31655,890.95109,938.51649,914.69947,856.56223,12440.6041,36221.958,,
641828,0,0,0,0,0,629,569.16667,639,666.83333,653,611.83333,582.16667,12442.6191,36351.6587,,
640975,0,0,0,0,0,979.64608,1160.76,1110.14,987.74,946.45,963.83488,1051.16765,12445.2,35823.0535,,
640980,0,0,0,0,0,883.87606,895.22857,925.21429,894.36429,859.95556,981.99286,952.4,12458.7601,35698.7959,,
640835,0,0,0,0,0,856.99673,913.44026,944.36553,833.36061,888.75396,909.14022,837.77305,12462.5739,36183.8718,,
640976,0,0,0,0,0,780.60658,985.55556,928.72826,713.09402,792.91522,833.16848,812.38142,12473.5898,35797.158,,
640822,0,0,0,0,0,930.475,868.60854,935.04286,925.15,909.73171,898.52683,840.80897,12475.558,36579.0946,,
640829,0,0,0,0,0,607.38462,559.97436,622.64103,563.31579,596.07692,629.02564,552.64103,12482.2418,36346.7295,,
640977,0,0,0,0,0,862.60294,1084.58532,1007.57994,751.91564,817.50441,946.85882,923.63085,12485.905,35762.476,,
640707,0,0,0,0,0,955.98909,863.19204,969.80524,943.52864,956.05838,950.6383,858.48391,12489.9886,35993.5101,,
640843,0,0,0,0,0,844.58555,812.04426,946.77381,794.33424,866.54844,831.41429,780.43356,12499.4606,36259.703,,
640834,0,0,0,0,0,902.20202,949.94336,997.08485,941.18519,983.09159,899.40134,852.32188,12501.3844,36137.9486,,
640978,0,0,0,0,0,1026.40816,996.93878,1069.45939,964.75981,917.16286,1005.20408,1037.9898,12503.937,35855.6477,,
640824,0,0,0,0,0,779.53883,878.18929,895.57985,774.15436,829.29826,894.47196,837.05797,12510.7021,36503.9863,,
641830,0,0,0,0,0,522.94737,471.78571,531.39286,567.64815,568.35714,573.34545,526.82143,12519.1773,36377.7396,,
640823,0,0,0,0,0,821.08237,964.62179,904.56561,762.99018,830.52244,845.10038,789.99359,12524.848,36537.958,,
640708,0,0,0,0,0,551.01923,457.37736,552.53846,535.96154,550,530.98077,473.71698,12529.4318,36025.8175,,
640833,0,0,0,0,0,886.63281,866.06516,935.93985,871.16948,887.91354,885.46491,812.38596,12535.1125,36210.343,,
640706,0,0,0,0,0,886.33659,846.43765,917.74819,838.48678,877.72473,879.44349,793.68095,12539.1358,35932.2648,,
640826,0,0,0,0,0,873.15312,982.55187,996.73989,896.78832,947.05187,931.72987,854.26576,12542.3629,36465.2688,,
640709,0,0,0,0,0,581.24528,517.11321,585.77358,550.90566,565.32075,566.61538,518.84906,12544.1201,36076.3568,,
643990,0,0,0,0,0,506.41176,592.05882,566.95294,476.59286,498.94706,541.53921,565.11919,12549.4178,35309.5141,,
