Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y,
638354,390.9,413.1,352.0,415.3,392.8,441.8,412.5,440.9,415.4,407.8,447.8,420.8,10615.3245,34657.3118,
628911,402.4,487.3,353.8,468.4,597.2,571.5,435.9,501.6,556.6,504.1,476.7,500.1,12586.5943,34508.5367,
628912,712.9,792.6,601.1,720.0,843.1,844.8,700.3,793.1,781.3,749.7,745.8,735.6,12586.5943,34508.5367,
628913,536.0,565.1,427.2,515.4,579.0,616.7,469.4,587.4,571.2,545.2,508.8,487.8,12586.5943,34508.5367,
628914,553.7,608.4,469.1,578.0,748.8,748.6,616.7,692.9,574.6,603.8,584.3,582.3,12586.5943,34508.5367,
628915,477.4,533.1,403.2,483.7,533.0,439.7,384.2,545.0,602.1,544.3,509.2,518.5,12586.5943,34508.5367,
628917,543.7,607.9,445.5,542.0,688.2,684.2,579.1,662.6,597.2,586.8,575.0,590.9,12586.6562,34553.069,
628919,247.6,292.2,147.1,223.5,28.5,114.0,327.8,324.6,466.5,375.8,420.2,354.9,12586.6562,34553.069,
628920,36.6,448.0,495.9,480.4,727.2,694.3,808.2,775.4,724.2,656.3,602.9,625.2,12586.6562,34553.069,
628910,567.6,624.0,467.0,563.8,604.0,566.1,393.0,573.7,523.1,473.0,509.7,493.1,12586.6694,34509.5368,
628916,490.8,546.7,383.4,491.6,521.3,411.7,472.3,504.9,546.0,506.4,509.5,541.3,12619.3262,34557.0034,
648359,443.0,525.6,497.6,541.6,706.5,691.9,616.2,659.6,544.5,575.1,586.6,575.9,12674.4036,37013.6869,
648360,420.3,487.1,405.3,451.2,571.4,584.6,534.8,569.8,521.2,599.8,494.8,497.0,12701.0758,36995.114,
648358,479.4,491.3,450.0,491.2,646.0,652.2,606.1,656.7,545.0,578.0,579.5,561.9,12702.0348,37058.4725,
648361,360.4,450.8,443.8,446.5,619.3,602.1,552.8,575.8,502.0,657.4,555.3,552.8,12732.2909,36986.9261,
648357,463.6,510.4,426.5,503.4,658.1,664.8,611.1,633.2,528.3,559.2,546.2,510.1,12734.3498,37054.4806,
648362,331.0,416.3,359.7,393.3,556.4,540.7,444.3,494.9,374.4,423.9,397.1,403.9,12758.7372,36967.9786,
648355,356.8,442.6,382.1,431.2,634.8,579.5,573.3,589.7,491.1,519.6,529.8,515.2,12762.3507,37030.3879,
648356,414.8,516.7,432.5,480.1,657.9,664.0,570.1,636.9,528.5,537.9,545.1,516.9,12776.5562,37020.3157,
648363,353.4,466.2,367.4,454.5,649.0,576.9,502.9,561.7,468.8,486.6,524.3,509.9,12804.9286,36958.0109,
648364,432.8,514.1,452.5,477.5,646.3,657.4,531.3,611.6,487.4,517.3,560.8,501.2,12819.1607,36960.9617,
648352,381.2,481.4,428.7,488.3,686.8,657.3,562.3,607.8,483.7,559.3,550.3,507.8,12823.8128,37033.4168,
648351,461.5,552.8,444.1,515.1,654.2,641.3,577.1,593.6,578.1,580.3,553.0,505.3,12850.443,37014.6528,
