Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y,
649815,369.5,405.9,468.6,535.6,566.8,528.1,528.2,571.2,475.3,505.6,551.4,532.2,15021.1679,36292.2746,
648923,587.0,689.7,550.5,661.4,878.5,726.8,727.2,809.0,685.8,689.2,766.1,747.3,15027.8332,35848.7504,
649814,418.2,469.9,453.8,553.2,586.0,605.7,644.0,614.9,529.3,614.0,563.7,562.8,15042.3429,36235.7284,
649822,392.5,495.6,516.9,525.1,576.7,539.6,550.4,567.7,478.8,488.5,499.0,523.0,15048.4855,36088.371,
649816,367.8,398.1,385.5,516.0,565.6,553.6,626.7,623.9,443.0,535.6,495.2,511.4,15055.6245,36324.4439,
649821,451.4,572.6,515.7,602.1,762.7,626.4,651.5,670.7,578.5,599.6,594.8,627.8,15064.6426,36035.5111,
649813,438.0,513.9,568.3,618.1,657.8,586.4,607.4,632.9,565.9,619.8,563.5,568.1,15089.547,36233.6643,
648925,902.4,"1,150.3","1,021.3","1,162.3","1,224.7","1,153.3",968.5,"1,186.1","1,319.1","1,173.9","1,372.3","1,315.5",15102.0887,35938.4411,
648316,337.4,355.2,362.3,336.2,412.0,456.2,440.1,422.4,373.3,375.4,410.0,414.2,15132.1609,36068.089,
649812,419.1,484.0,470.7,475.8,583.2,602.3,611.5,619.7,522.7,581.5,562.3,569.1,15139.7483,36252.8916,
648317,270.2,291.3,298.0,285.4,382.4,403.8,407.7,406.5,345.1,354.9,409.7,386.7,15151.2794,36138.1752,
648318,267.7,304.0,308.7,301.5,377.5,386.0,387.3,379.4,325.3,333.0,405.8,364.3,15151.3912,36137.2846,
648319,324.9,372.1,324.8,317.7,456.5,448.8,493.3,471.5,419.9,427.2,467.5,448.8,15151.3912,36137.2846,
648926,647.0,928.7,952.4,942.4,"1,132.9",997.1,913.8,"1,037.6",852.7,900.2,"1,042.6","1,003.7",15152.0499,35950.6187,
649811,421.7,434.2,463.8,493.5,614.5,553.0,569.4,597.7,479.8,552.8,529.1,541.5,15173.9561,36279.9113,
648315,340.8,352.4,357.5,331.5,412.3,432.2,420.1,433.3,386.8,394.6,437.8,425.6,15185.736,36090.0518,
648927,526.7,664.6,613.4,642.8,782.5,713.7,698.4,771.9,666.8,688.0,805.2,772.2,15205.5121,35999.3911,
649810,366.5,403.1,412.9,448.6,540.1,514.6,567.9,563.8,448.0,515.9,505.9,488.4,15208.741,36307.9007,
648320,348.3,362.4,342.8,343.3,430.2,447.5,414.2,415.0,376.0,386.5,476.0,428.5,15233.2825,36106.0924,
648305,-,-,-,-,s,40.5,46.0,78.5,169.1,196.0,313.8,281.6,15278.6521,36128.369,
648322,-,-,-,-,14.3,67.8,62.3,93.5,244.0,255.4,416.2,351.6,15311.3646,36166.8954,
648324,-,-,-,-,s,46.7,41.3,84.0,212.9,226.0,397.7,366.2,15319.3725,36085.2671,
618656,447.9,578.2,638.5,586.7,655.6,700.7,394.5,527.1,647.0,573.0,536.0,591.7,15572.0748,35906.2493,
619064,236.4,245.2,183.3,206.6,237.7,261.1,266.9,259.6,227.9,236.2,267.7,257.1,15628.2781,35820.7574,
619062,181.8,198.8,164.1,169.8,250.4,243.5,273.3,253.3,229.9,233.2,240.3,251.3,15654.5403,35769.3258,
619063,160.0,177.9,183.0,169.5,234.2,238.4,192.6,212.5,205.4,201.9,198.8,196.1,15671.4063,35805.8112,
649412,515.8,444.2,468.4,623.8,525.5,680.7,629.6,588.2,616.1,594.6,625.5,404.8,15679.6883,36410.7743,
649413,488.2,348.4,403.5,626.3,539.4,719.9,663.3,582.5,611.1,572.9,582.0,378.7,15704.1094,36488.4594,
649411,506.4,340.6,422.5,656.6,557.5,639.9,616.2,523.2,545.9,570.5,565.0,401.4,15765.2994,36438.4639,
618650,710.5,738.4,643.4,652.3,951.8,881.4,840.1,892.1,843.4,845.4,841.4,850.5,15963.9276,35568.64,
618643,s,s,s,s,s,s,s,s,s,s,s,s,15993.1817,35039.963,
618644,197.7,400.3,383.0,372.3,427.7,463.3,557.7,502.7,558.7,513.3,559.3,554.0,15996.4476,35108.2822,
618649,672.3,695.6,559.2,602.6,865.5,878.8,848.9,850.2,750.8,775.2,680.2,745.9,15997.9632,35495.4643,
618645,341.3,411.7,347.9,281.6,460.9,511.9,383.7,451.1,416.3,356.3,417.3,429.4,15999.8459,35167.7414,
618646,685.4,708.0,625.6,635.0,746.4,665.3,716.0,617.4,639.7,695.1,708.3,725.2,16002.7846,35248.6381,
618647,489.0,495.3,547.7,506.4,602.7,632.7,603.6,595.9,594.3,608.4,606.6,625.3,16010.2349,35335.054,
618648,451.9,510.1,499.2,500.6,604.8,601.1,588.7,577.2,578.5,558.3,593.2,617.6,16011.0902,35392.08,
619415,496.0,435.8,466.3,455.8,468.0,590.2,501.0,572.3,514.5,500.1,522.0,515.1,16473.9829,33671.7738,
609782,580.7,504.5,557.7,618.9,577.4,570.3,524.9,583.9,595.2,558.2,650.0,502.8,16798.3875,36289.0342,
609781,548.3,565.1,534.4,672.1,656.9,637.4,592.9,688.1,648.6,612.3,681.2,566.7,16817.2857,36215.5513,
609478,518.0,433.2,460.2,586.3,542.7,558.8,564.6,662.3,621.4,539.8,605.6,546.5,16848.2925,36415.2154,
609783,468.6,486.9,476.0,611.2,567.5,698.7,595.9,591.4,621.7,522.1,609.4,474.1,16875.8971,36259.5224,
609477,499.8,398.5,416.2,533.3,524.0,656.3,565.2,648.6,640.6,501.4,591.3,501.4,16882.4372,36353.6311,
609480,492.6,431.4,435.8,545.2,516.9,633.1,544.5,590.4,563.0,443.7,538.4,489.1,16900.9733,36472.3538,
609479,416.0,328.5,367.8,514.1,444.9,574.0,505.2,554.2,540.4,421.8,511.0,414.8,16920.3485,36456.8371,
609774,595.4,449.4,467.1,651.2,577.2,693.1,654.8,700.8,678.1,606.3,705.4,539.1,16949.7621,36226.7453,
609776,561.5,442.6,465.0,639.2,588.3,662.2,638.4,670.6,671.8,565.9,654.2,558.0,16956.8076,36143.8183,
609780,921.6,938.3,906.8,"1,145.7","1,078.8",891.0,804.6,957.9,934.8,755.0,779.4,668.9,16984.1669,36022.9817,
609777,563.5,488.0,482.2,589.3,556.0,627.9,570.8,710.9,709.1,619.6,729.8,573.7,17007.7664,36090.9688,
609775,623.6,499.4,524.7,622.6,604.1,632.3,627.9,685.1,665.3,560.3,694.7,567.6,17019.4528,36187.4584,
609779,537.2,520.3,502.9,697.4,630.8,683.5,635.9,771.1,715.1,511.9,654.3,509.4,17037.2752,35998.4266,
600117,439.2,505.3,417.2,506.1,622.2,595.9,603.0,593.8,487.6,551.6,601.9,568.4,17065.7096,35562.4447,
609778,601.5,476.7,533.4,732.7,649.4,770.7,661.3,764.5,770.8,650.3,760.5,558.5,17073.4121,36051.411,
600118,474.0,554.3,494.4,551.0,615.8,622.3,690.8,651.6,454.1,556.3,659.6,617.8,17105.7769,35460.9146,
600119,466.7,605.1,570.1,705.2,"1,149.0",988.8,657.8,699.0,769.6,817.4,812.5,830.0,17121.3895,35363.4012,
600120,529.5,581.9,516.7,562.8,733.6,670.3,657.5,696.3,632.6,689.5,743.8,726.3,17171.0309,35326.7494,
609653,369.9,422.6,365.3,414.0,571.6,521.0,545.0,543.0,392.2,482.3,493.9,475.2,17172.4515,35519.5315,
609652,390.0,447.0,344.6,418.8,569.0,543.4,597.6,565.4,447.1,513.8,506.4,481.4,17203.9143,35495.0928,
600121,470.8,542.0,514.4,555.1,699.9,669.3,506.3,597.1,546.1,580.9,647.8,624.4,17225.5871,35252.2556,
609650,429.9,480.7,392.0,454.7,611.3,579.8,596.7,590.1,489.6,537.0,526.0,539.2,17245.4479,35529.0877,
600123,449.5,507.3,451.5,503.9,654.9,617.9,494.6,555.8,508.8,553.6,496.2,526.9,17279.7184,35195.2579,
600122,463.1,542.4,366.5,472.8,701.1,624.9,520.5,568.5,502.1,527.7,527.5,548.3,17284.3291,35319.2776,
600124,435.8,505.2,429.4,488.6,700.5,641.8,576.1,602.6,538.5,569.7,541.6,567.1,17369.2729,35165.8721,
