Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y
417391,227.9,276.4,273.2,256.4,284.8,283.8,336.7,305.7,252.9,279.6,334.0,307.2,37000.8555,34581.9261
425553,243.8,296.9,346.4,334.1,420.5,518.5,553.3,495.8,433.9,449.9,473.6,500.8,37002.716,32713.3452
425206,s,-,s,s,s,s,s,s,s,s,s,s,37004.3013,32493.3895
425762,394.5,461.6,543.1,502.3,581.1,616.4,675.2,645.7,568.4,563.8,557.1,619.4,37008.1119,32909.222
428268,417.6,496.4,549.3,520.5,692.3,657.8,640.8,649.3,629.1,618.6,581.9,651.1,37010.0241,32156.4072
425380,-,-,-,-,-,-,-,s,11.9,11.5,40.3,54.1,37014.221,32578.8013
425602,538.5,638.0,679.1,584.1,675.1,670.2,709.4,711.3,702.3,633.2,661.5,753.5,37021.9373,32802.3741
425414,-,-,-,-,-,-,-,s,10.1,12.8,70.8,67.9,37022.2329,32547.0812
419905,s,s,s,s,s,s,s,s,s,s,s,s,37022.4933,33511.7072
417392,202.5,233.0,223.1,249.7,294.6,289.5,371.4,321.1,276.1,299.5,365.3,323.2,37023.625,34581.3315
425562,448.8,567.0,688.9,668.3,701.9,756.0,695.0,730.8,645.7,651.0,534.8,653.2,37025.7409,32776.5713
417652,s,s,s,s,s,s,s,s,s,s,s,s,37027.7081,34540.7849
423484,341.8,376.6,439.9,408.4,391.5,433.9,556.0,494.9,511.3,486.6,495.9,533.0,37028.591,32990.8387
425766,300.5,415.2,528.8,472.1,571.2,565.8,561.0,563.3,502.9,486.7,475.8,557.9,37028.6654,32919.3242
417653,s,s,s,s,s,s,s,s,s,s,s,s,37033.8238,34541.4666
417654,s,s,s,s,s,s,s,s,s,s,s,s,37040.5662,34540.4874
425971,415.3,511.7,638.7,589.6,700.4,699.7,632.7,666.3,621.8,623.4,614.6,671.4,37040.5722,32960.071
425225,s,s,-,s,s,s,s,s,s,s,s,s,37044.0768,32561.5054
425563,367.4,496.5,655.9,576.4,643.0,661.3,621.5,641.4,648.3,624.1,563.5,644.0,37045.4388,32710.0688
417655,s,s,s,s,s,s,s,s,s,s,s,s,37047.2093,34541.3778
416479,s,s,s,s,s,s,s,s,s,s,s,s,37049.5899,34086.0114
425226,s,s,s,s,s,s,s,s,s,s,s,s,37049.6639,32564.0782
423467,393.6,585.4,496.8,483.2,636.7,522.2,764.8,788.3,721.4,893.2,866.9,"1,152.2",37051.6271,32277.2966
425566,469.0,556.1,652.7,579.6,752.8,722.6,783.4,752.7,867.8,784.3,803.6,861.1,37052.0174,32737.5655
425770,416.9,426.7,509.3,481.1,549.6,542.5,708.9,644.8,650.0,467.9,533.9,545.1,37053.7133,32926.2806
425972,368.3,445.8,520.8,483.3,650.2,614.8,644.0,340.0,756.3,457.0,490.3,553.5,37054.7541,32975.4416
425228,s,s,s,s,s,s,-,s,s,s,s,s,37061.6685,32566.4182
425767,253.8,341.4,467.0,404.4,542.1,469.3,561.2,537.3,411.4,440.7,378.1,457.9,37063.2339,32851.4527
429069,286.7,311.0,271.3,279.0,229.5,285.2,367.3,261.6,356.3,378.5,403.6,304.4,37064.0407,32501.593
429071,473.7,248.9,259.4,432.7,364.0,540.9,435.1,401.4,359.7,341.0,378.5,302.9,37064.0407,32501.5929
429072,213.3,181.3,178.3,381.4,298.4,164.5,221.4,301.1,215.8,215.0,510.1,78.7,37064.0407,32501.5929
424217,527.2,604.1,613.2,611.0,653.3,658.6,607.2,662.2,649.8,640.1,670.0,702.9,37065.0325,32163.2451
424218,543.1,588.4,680.6,628.6,740.4,742.0,701.2,757.9,615.0,685.5,740.0,879.2,37066.851,32241.0785
417393,209.3,265.8,268.1,275.0,320.7,313.5,390.9,344.9,292.6,326.3,411.4,339.1,37073.2792,34592.9844
425774,383.0,355.9,459.4,433.6,473.2,629.8,492.1,556.1,595.6,661.1,530.5,602.2,37073.5983,32928.8734
417398,175.5,233.9,229.0,244.0,320.5,295.7,342.7,320.7,269.8,289.0,304.5,296.5,37075.3282,34636.8897
429074,339.5,234.5,264.3,366.3,349.9,491.7,507.8,400.9,378.0,354.6,408.0,458.6,37077.2466,32460.8174
429075,425.2,303.7,335.3,401.6,346.1,428.6,497.5,408.4,398.9,550.4,541.0,495.3,37077.2466,32460.8174
424171,473.7,515.7,626.0,618.5,639.6,784.6,700.1,693.6,581.3,669.0,721.0,700.4,37082.0631,32204.8633
425265,368.6,508.2,604.6,556.5,766.9,717.9,680.9,727.4,523.2,604.2,504.8,556.6,37083.0894,32576.212
425769,118.4,147.0,159.7,153.6,223.4,257.1,247.5,255.3,238.8,236.9,224.6,239.0,37084.1752,32870.0351
423491,371.2,433.6,464.6,449.3,591.9,706.5,564.1,576.6,558.2,571.8,509.6,592.8,37085.6116,32967.5025
425571,497.5,656.0,804.3,730.2,826.5,844.3,934.4,882.3,823.0,749.2,795.8,878.7,37090.6272,32805.6846
424216,542.3,687.5,683.7,641.4,788.5,775.5,751.8,763.6,737.7,726.3,683.0,764.5,37096.8417,32169.6647
429073,428.6,143.1,224.3,529.9,415.5,427.1,344.6,398.4,445.4,420.5,420.9,368.5,37099.0018,32465.2871
425231,351.1,446.3,426.3,507.2,666.4,651.6,684.0,669.3,471.4,749.8,610.5,634.1,37102.4631,32557.9682
417394,279.9,343.3,364.3,368.5,458.9,421.9,471.5,428.9,425.6,438.1,526.4,462.2,37103.1913,34605.3377
417397,177.8,220.4,209.8,219.4,293.6,239.8,335.2,309.4,234.6,263.3,324.7,283.0,37104.267,34646.0515
418668,s,s,s,s,s,s,s,s,s,s,s,s,37107.0861,33977.0691
425569,400.7,495.8,612.9,529.9,669.5,664.4,749.1,708.0,681.8,660.7,617.8,739.1,37111.1986,32725.5989
425777,317.5,443.9,498.1,453.8,641.2,534.1,628.5,693.7,355.2,485.3,487.2,502.2,37112.2532,32929.4383
418570,s,s,s,s,s,s,s,s,s,s,s,s,37116.6926,34228.5384
425399,216.1,354.0,396.0,353.3,423.1,473.7,515.6,478.5,459.9,481.9,480.5,472.2,37124.7211,32620.553
417396,273.4,295.9,326.8,324.7,401.6,373.0,412.7,368.4,360.9,391.0,428.6,386.3,37136.791,34619.5872
425236,418.4,572.0,786.7,737.9,785.6,811.9,749.5,786.0,812.9,768.9,925.4,902.4,37144.141,32485.2072
425244,211.6,306.9,343.6,306.1,390.9,348.1,528.1,490.1,400.3,430.9,351.8,320.2,37144.3577,32575.7107
425239,311.6,338.8,454.6,370.5,493.2,510.5,589.1,549.8,449.1,483.3,423.4,491.6,37152.4212,32527.0708
