Po0tal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,0ep,Oct,Nov,Dec,X,Y
98371,910.8,615.2,814.5,979.6,939.4,"1,163.50","1,014.40",806.7,"1,206.50","1,575.40","1,305.00","1,158.90",28991.9267,25637.1632
98367,785.9,574,648.6,724,593.5,705,649.4,815.4,832.3,649.3,810.1,"1,089.40",28914.2071,25748.0232
98368,711.1,525.2,687.5,901.8,767.6,926.5,949.9,723.9,860.8,631.3,701.3,729.1,28915.9628,25753.5179
98627,"1,309.60",993,"1,114.10","1,291.80","1,125.30","1,448.10","1,351.20",773.5,"1,024.90",965.5,"1,009.30","1,133.80",29446.3171,25754.3896
98628,"1,473.00",605.7,982.8,"1,276.80","1,090.30","1,533.20","1,162.20",528,761,712.8,"1,187.50","1,085.00",29446.3171,25754.3896
98629,"1,129.70",703,853.9,888.8,921.7,"1,142.60",971.3,708.2,"1,046.80","1,092.30","1,270.40","1,112.80",29446.3171,25754.3896
98630,"1,363.40",689.6,937.2,"1,212.90","1,004.60","1,307.70","1,232.90",948.5,"1,183.30","1,269.50","1,237.70","1,195.50",29446.5675,25758.0986
98624,729.6,538.3,668.4,857,662.1,935.6,772.3,675.2,887.3,673.4,661.7,588.9,29411.2093,25773.3716
98625,"1,023.30",489.8,733.1,873.2,638.5,829.2,978,654.3,888.8,"1,181.50","1,129.00",956.4,29411.2093,25773.3716
98626,857.2,595.5,701.5,735.6,653.9,903.1,812.2,873.3,956.2,810.3,773.6,667,29409.1781,25773.6416
98616,"1,226.40",871.5,890.2,"1,323.90","1,131.90","1,308.90",963.7,868.9,"1,191.10","1,353.90","1,240.80","1,139.10",29446.8922,25849.538
98617,944.1,657.1,797.2,984.8,936.1,"1,344.70","1,335.80","1,308.30","1,448.30","1,197.80","1,182.50","1,411.80",29446.8922,25849.538
98618,919.4,610.3,684.3,"1,004.80",911.3,"1,282.30","1,227.40",761.2,"1,075.80","1,142.20",948.8,"1,061.80",29446.8922,25849.538
98619,713.1,398.3,511.1,532,455.1,739.6,725.6,719.8,776.8,790.3,929.7,721.4,29446.8922,25849.538
98620,995.7,729.6,920.3,"1,122.50",938.8,"1,360.30","1,243.80",833.4,"1,164.60",973.3,889.7,"1,453.20",29446.8922,25849.538
98621,"1,110.40",795.2,821.2,898.8,815.5,907.9,"1,008.80","1,191.90","1,072.30",865.3,"1,023.60",964.4,29446.8922,25849.538
98622,802.6,509.7,682.8,843.8,779,995.5,877.5,817.6,"1,019.80","1,010.70",890.4,921.8,29446.8922,25849.538
98623,951.4,536.2,651.6,943.4,720.1,766.7,849,773.4,776.2,494.6,625.9,942.1,29446.8922,25849.538
98584,"1,534.40",854.2,"1,097.00","1,429.00","1,219.30","1,487.90","1,455.90","1,127.10","1,376.20","1,418.10","1,442.10","1,421.20",29636.7292,26010.4614
98649,"1,410.40",844.3,"1,145.90","1,676.40","1,364.40","1,081.70",904.3,698,939.2,"1,197.20","1,151.50","1,587.80",25951.923,27485.8026
98648,"1,306.70",603.9,737.3,"1,001.30",956.1,"1,413.80","1,244.30","1,138.30","1,206.40",890.7,"1,035.80","1,229.80",25970.1367,27516.0119
98647,792.6,559.8,710.7,802.1,681,800.1,874.1,738,813.7,854,"1,011.40",982.2,25994.7934,27547.4559
98653,"1,212.30",838.8,"1,193.90","1,640.30","1,400.60","1,360.70","1,385.80",769.5,"1,113.70","1,330.00","1,464.90","1,524.40",25891.6269,27555.0499
98646,602,455.1,633,721.5,556.1,663.1,690.2,642.3,736.8,619.2,762.5,853.2,26028.4062,27558.1915
98413,539.3,858.2,712.1,654.8,655.8,817.8,770.1,483.6,744.8,613.8,733.9,868.6,25440.0625,27566.2466
98652,836,506.5,658.6,775.5,713.8,763.8,788.7,677.3,765.8,626.7,749.4,693.4,25945.2186,27568.8951
98645,724.9,421.5,600.6,797.3,669.9,621.6,709.5,708.1,836.3,693.5,820.2,777.2,26036.9376,27590.9945
98644,653.9,401.2,464.7,666.8,578.8,612.3,491.8,570.5,656.7,407.5,648.1,675.2,26070.0084,27601.616
98412,584,356.6,496.4,676.5,547.5,592,627.6,565.1,682.9,452.8,588.1,631.4,25426.4975,27616.9526
98654,"1,256.10",885,"1,126.30","1,323.10","1,195.10","1,250.90","1,146.00",887.5,"1,136.10",890.8,"1,058.00","1,052.70",25840.2593,27618.7276
98651,830.7,513.2,636.2,793.5,722.3,712.1,760.1,733.3,786.4,609.5,775.9,843,25979.6174,27631.1759
98829,"1,781.90","1,245.40","1,398.60","1,443.70","1,550.60","1,685.60","1,755.30","1,558.10","1,983.00","1,400.90","1,387.90","1,618.60",26894.8837,27632.9732
98830,541.2,383.5,458,486.2,435.3,492.2,520.6,497.5,548.4,501.9,561.8,478,26823.2023,27633.9275
98643,692.9,387.1,497.9,628.1,646.8,658.4,668.1,662.5,792.6,531.4,703.6,707.3,26078.2501,27634.5816
98411,"1,219.10",738.9,995.1,"1,262.90","1,085.00","1,334.40","1,061.10",885.5,"1,063.30","1,214.70","1,232.50","1,386.80",25494.2172,27641.9423
98650,701.6,423.9,563.8,731.8,593.2,658.7,636.8,570.1,645.1,570.7,661.1,754.1,26028.636,27650.1844
98642,748.3,450.2,633.6,875.6,760.6,823.2,781.3,826.9,939.7,584.5,792.4,875.8,26111.3145,27653.8018
109919,0,0,0,0,0,0,0,0,0,0,0,0,25293.3067,27658.4877
98415,598.2,397.5,493.9,548.6,525.4,546.3,564.8,513.9,590.4,511.8,600,701.7,25386.2641,27671.4807
98417,616.3,438,534.2,579.7,530.2,611.4,606.8,554.2,643.1,434.4,613.8,676.7,25459.6566,27672.7056
98865,801.9,523.3,688.8,772.1,693.5,758.6,861.9,809.7,931.2,721.3,973.5,781.3,26839.6575,27675.3052
98641,697.4,423.7,564.9,822.1,708,789.3,768.6,700.9,781.2,550.9,747.5,898.9,26137.935,27676.3744
98655,822.8,518.6,651,790.9,741.7,776.6,845.5,781.8,854.2,696,819.8,849.2,25833.6019,27676.7181
98407,"1,260.10",818.5,"1,225.10","1,003.70",982.4,"1,220.10","1,156.40",769.8,"1,042.70","1,186.90","1,221.10","1,345.90",25671.0894,27686.423
98414,785.9,478.8,617.9,811.5,710,752.9,724.7,717.3,794.4,678.9,788,860,25386.8995,27697.0594
98416,554,328.7,449.8,542,482.8,490.4,528.3,488.2,591.4,463.7,565.8,652.8,25475.7016,27701.3251
98656,632.6,436,550.5,630.7,601.6,672.7,664.6,567.7,638,547,664.9,719.3,25924.965,27703.3197
98405,665.7,310.5,452.7,646.6,542.4,514.3,537.9,565.4,576.8,419.3,526.5,577.3,25772.2181,27704.1638
98410,705.3,432.7,598.8,815.4,657,673.5,751.8,507.3,648.2,661.9,800.7,866.6,25535.8365,27709.0015
98640,840.7,500.5,694.6,801.2,753.2,855,789.1,774.4,785.6,747.1,767.5,859,26143.4712,27710.7226
98406,805.4,434,656.9,921.7,775.1,737.2,817.2,784.1,846.1,614.2,796.3,819.9,25711.0765,27721.134
98637,729,502.8,630.1,760.9,663.2,623.1,690.1,757.7,868.3,654,764,839.9,26059.3072,27729.7474
98639,"1,016.40",635.6,826.9,"1,012.00",900.9,"1,031.80",956.9,762.2,861,783.3,905.8,814.3,26123.7375,27739.1917
98419,810.8,594.1,705.1,762.8,748.2,892.6,875.9,682.7,803.5,593.4,770.1,906,25516.3666,27739.9873
98408,593.5,323.5,480.7,684.1,607.5,629.2,613.6,707.1,807.2,595.9,758.7,799.1,25622.1259,27741.7077
99281,0,0,0,0,0,0,0,0,0,0,0,0,26787.7144,27742.9841
99282,965.7,758.3,876,"1,024.30",919.3,908,991.3,761.3,948.3,888.7,993.7,721.7,26787.7144,27742.9841
98638,751.1,528.7,629.2,687.7,644.1,779.5,770.8,642,834.7,793.4,902.8,925.6,26089.5952,27747.2968
98418,585.4,349.5,460,507.3,461.5,565.3,577.1,542.9,585,459.8,573,654.5,25515.5862,27751.5485
